COUNTY,ZCTA5,EDU,POPPT,INC
MANHATTAN,10019,70.1,42870,84424.0
QUEENS,11365,35.2,42252,55492.0
BRONX,10465,23.9,42230,65450.0
RICHMOND,10304,28.0,42193,53168.0
MANHATTAN,10040,34.5,41905,42721.0
KINGS,11228,28.4,41788,61893.0
RICHMOND,10305,31.7,41749,70758.0
QUEENS,11367,42.2,41047,56608.0
BRONX,10475,23.7,40931,43629.0
KINGS,11205,40.0,40366,44688.0
RICHMOND,10301,33.2,39706,56848.0
BRONX,10455,8.7,39665,22609.0
QUEENS,11357,33.7,39150,71978.0
QUEENS,11421,21.3,39127,60897.0
QUEENS,11413,25.9,38912,78667.0
MANHATTAN,10034,31.9,38908,41171.0
QUEENS,11106,39.2,38875,48720.0
QUEENS,11103,41.5,38780,55129.0
QUEENS,11369,16.7,38615,53617.0
QUEENS,11358,36.8,37546,65722.0
BRONX,10454,9.2,37337,20232.0
KINGS,11222,50.3,36934,63739.0
QUEENS,11105,42.9,36688,57525.0
QUEENS,11418,25.8,36256,60691.0
KINGS,11217,61.8,35881,81862.0
QUEENS,11378,22.3,34981,57474.0
QUEENS,11412,21.5,34882,70672.0
QUEENS,11379,30.3,34821,69843.0
QUEENS,11364,44.4,34555,72909.0
QUEENS,11102,41.3,34133,49924.0
MANHATTAN,10026,39.3,34003,43107.0
MANHATTAN,10035,22.8,33969,24533.0
KINGS,11231,58.8,33336,78174.0
QUEENS,11433,16.2,32687,42887.0
RICHMOND,10309,30.9,32519,86297.0
MANHATTAN,10065,79.9,32270,115519.0
MANHATTAN,10014,81.9,31959,108483.0
MANHATTAN,10022,80.7,31924,109019.0
MANHATTAN,10010,73.7,31834,97955.0
QUEENS,11422,30.0,30425,84824.0
QUEENS,11423,26.2,29987,60892.0
QUEENS,11417,20.9,28967,62086.0
QUEENS,11361,41.7,28606,75335.0
QUEENS,11370,19.4,28597,52500.0
KINGS,11232,23.1,28265,43595.0
MANHATTAN,10013,61.7,27700,83725.0
RICHMOND,10308,27.8,27357,88075.0
QUEENS,11104,41.0,27232,56059.0
MANHATTAN,10030,28.9,26999,31925.0
RICHMOND,10303,22.6,26337,51537.0
QUEENS,11414,25.1,26148,66790.0
MANHATTAN,10075,80.6,26121,102941.0
QUEENS,11101,36.5,25484,47142.0
QUEENS,11429,20.0,25105,68890.0
RICHMOND,10310,27.6,24962,61925.0
QUEENS,11416,21.9,24861,56724.0
MANHATTAN,10036,66.6,24711,66599.0
MANHATTAN,10039,26.5,24527,33595.0
MANHATTAN,10012,75.5,24090,86594.0
QUEENS,11427,34.6,23593,70108.0
QUEENS,11356,24.3,23438,58465.0
BRONX,10471,54.4,22922,71798.0
MANHATTAN,10001,69.3,21102,81671.0
QUEENS,11694,37.6,20408,76944.0
MANHATTAN,10038,59.6,20300,66074.0
QUEENS,11415,46.0,19341,63549.0
QUEENS,11428,23.8,19168,69330.0
RICHMOND,10302,21.0,19088,56841.0
QUEENS,11360,47.7,18884,76183.0
QUEENS,11411,30.7,18556,83099.0
QUEENS,11692,19.2,18540,43354.0
QUEENS,11436,17.4,17949,62114.0
QUEENS,11362,52.7,17823,82332.0
QUEENS,11426,37.4,17590,82301.0
MANHATTAN,10037,34.8,17416,37341.0
MANHATTAN,10017,80.7,16575,100652.0
BRONX,10470,27.6,15293,58600.0
RICHMOND,10307,32.0,14096,86457.0
QUEENS,11004,44.8,14016,81709.0
QUEENS,11366,45.2,13532,71350.0
KINGS,11239,21.7,13393,26275.0
BRONX,10474,10.0,12281,25676.0
QUEENS,11693,23.8,11916,50570.0
MANHATTAN,10044,56.3,11661,83066.0
BRONX,11370,19.4,11091,52500.0
MANHATTAN,10463,36.4,8463,54258.0
MANHATTAN,10280,79.4,7853,129574.0
MANHATTAN,10005,88.7,7135,124670.0
QUEENS,11363,53.6,6988,90799.0
MANHATTAN,10007,76.7,6988,216037.0
MANHATTAN,10018,69.1,5229,104635.0
MANHATTAN,10069,87.2,5199,170630.0
MANHATTAN,10282,86.4,4783,230952.0
BRONX,10464,43.0,4534,70078.0
QUEENS,11001,40.5,4222,101634.0
QUEENS,11697,44.1,4079,87636.0
QUEENS,11109,83.4,3523,125871.0
MANHATTAN,10004,78.4,3089,129313.0
MANHATTAN,10006,81.5,3011,119274.0
QUEENS,11040,43.7,2175,101434.0
QUEENS,11005,54.9,1806,64300.0
MANHATTAN,10162,92.0,1685,168667.0
QUEENS,11430,10.1,184,
QUEENS,11003,29.7,156,85672.0
